Group,Sample,Folder_name,File_name,fastq_1,fastq_2
shMSI2_MIB-01,shMSI2_MIB-01-03,Sample_Molm13_shMSI2-C_MIB_r1_IGO_14706_C_14,shMSI2-C_Con_r1_IGO_14706_C_14_S32,Molm13_shMSI2-C_Con_r1_IGO_14706_C_14_S32_L003_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r1_IGO_14706_C_14_S32_L003_R2_001.fastq.gz
shMSI2_MIB-01,shMSI2_MIB-01-03,Sample_Molm13_shMSI2-C_MIB_r1_IGO_13289_C_19,shMSI2-C_Con_r1_IGO_13289_C_19_S28,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L003_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L003_R2_001.fastq.gz
shMSI2_MIB-01,shMSI2_MIB-01-04,Sample_Molm13_shMSI2-C_MIB_r1_IGO_13289_C_19,shMSI2-C_Con_r1_IGO_13289_C_19_S28,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L004_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L004_R2_001.fastq.gz
shMSI2_MIB-02,shMSI2_MIB-02-01,Sample_Molm13_shMSI2-C_MIB_r2_IGO_13289_C_20,shMSI2-C_Con_r2_IGO_13289_C_20_S29,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L001_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L001_R2_001.fastq.gz
shMSI2_MIB-02,shMSI2_MIB-02-01,Sample_Molm13_shMSI2-C_MIB_r2_IGO_14706_C_33,shMSI2-C_Con_r2_IGO_14706_C_33_S24,Molm13_shMSI2-C_Con_r2_IGO_14706_C_33_S24_L001_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r2_IGO_14706_C_33_S24_L001_R2_001.fastq.gz
shMSI2_MIB-02,shMSI2_MIB-02-02,Sample_Molm13_shMSI2-C_MIB_r2_IGO_13289_C_20,shMSI2-C_Con_r2_IGO_13289_C_20_S29,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L002_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L002_R2_001.fastq.gz
shMSI2_MIB-02,shMSI2_MIB-02-02,Sample_Molm13_shMSI2-C_MIB_r2_IGO_14706_C_33,shMSI2-C_Con_r2_IGO_14706_C_33_S24,Molm13_shMSI2-C_Con_r2_IGO_14706_C_33_S24_L002_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r2_IGO_14706_C_33_S24_L002_R2_001.fastq.gz
shMSI2_MIB-02,shMSI2_MIB-02-03,Sample_Molm13_shMSI2-C_MIB_r2_IGO_13289_C_20,shMSI2-C_Con_r2_IGO_13289_C_20_S29,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L003_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L003_R2_001.fastq.gz
shMSI2_MIB-02,shMSI2_MIB-02-03,Sample_Molm13_shMSI2-C_MIB_r2_IGO_14706_C_33,shMSI2-C_Con_r2_IGO_14706_C_33_S24,Molm13_shMSI2-C_Con_r2_IGO_14706_C_33_S24_L003_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r2_IGO_14706_C_33_S24_L003_R2_001.fastq.gz
shMSI2_MIB-02,shMSI2_MIB-02-04,Sample_Molm13_shMSI2-C_MIB_r2_IGO_13289_C_20,shMSI2-C_Con_r2_IGO_13289_C_20_S29,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L004_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r2_IGO_13289_C_20_S29_L004_R2_001.fastq.gz
